Number	Word	Sentence	PpW2	PpW3	PpW4	PpW5	PpKenlm	Mother tongue	Level
7170	,	Dos son casadas y la joven estudia musica , el piano , en Marseille .	3206.549125918388	8835.99128311522	13548.456263872264	15451.062888436285	13409.374020399804	Francés	C1
177634	la	Hemos que pagar mucho mas que con la compania	8211.229873576614	17415.42670646769	20712.023003104874	18716.0370830023	400.6754560060428	Francés	C1
131755	el	La majora hermana , Aine , tiene 54 años , es professora d´ írlandas en Galway , una ciudad a el oest Irlanda .	10790.030145466735	23149.292629904547	33629.426820676395	37427.756208587285	102167.13578101028	Inglés	A1
375790	circa	Tengo dos hermanos Jim y Patrick , viven circa de mi .	8879.43265434596	18196.848719793696	21168.210090480414	19325.1665862254	21055.89216885023	Inglés	A1
361913	bien	[...] El amigos de mi amiga , Gary y su novia Esther , vivá en San_Francisco y ellos recuerdo Seattle es bien para visitar le , pero no quiero a vivá aqui porque no tiene sol .	12504.85064862989	35945.15204290568	61747.86688908814	77573.9118002504	6568.823855032168	Inglés	A2
251492	porque	Lo admira porque siempre está feliz y siempre tiene un sonrie en su cara .	4765.99085224999	10937.586917359537	15583.161383713274	16862.946997249546	1474.3717351757416	Inglés	A2
627117	vez	Cada vez que miro un perrito en una bolsa , me recuerdo de el dia cuando tu escondiste tu chihuahua en tu [...]	13795.280074498822	36454.959594860185	55290.19045853445	62178.963208320274	2623.3369577114586	Inglés	B1
629511	vida	¿ Còmo es tu vida personal ?	28360.832511374414	31475.02322630857	24143.499867806466	16856.14898564612	6367.824408797051	Inglés	B1
34559	.	[...] mis notas a_través todo mi vida academica son altas , que demuestra que mis estudios son muy importantes para mi .	12556.962705552578	28413.29203962373	41705.48820192096	47600.06829747206	2750.237483137017	Inglés	B2
429067	esta	Las consiquencias son más peor si esta ley esta en afecto y no pienso que sea un buen idea para prohibir fumar en lugares públicos .	6982.34794593256	19321.499885787824	30795.683451468707	37308.390589223396	1421.1424853795654	Inglés	B2
532082	otro	Después , pensé que era otro monje pero no tuve razón tambien en este caso .	4535.402316179565	10376.7211877823	15152.174358435628	17042.430203245844	1193.5782358494178	Inglés	C1
540205	pelicula	A el final de la pelicula casi mata a el presidente de china porque Vortex le dio un liquido que le hace controlar su mente pero [...]	5143.469906186709	13992.703282924907	26557.763599779722	37103.20991289513	1765.2225591380177	Inglés	C1
85720	a	Me gusta mucho leer , escuchar música , estudiar , ir a el cine y viajar .	3348.2264597095746	8519.857757251617	14258.254799651999	17326.59553224593	24153.845313307975	Portugués	A1
199176	los	Corro más_o_menos 4 km todos los días .	8057.978267525178	9023.968893124942	8134.846859865	6844.163155854771	12475.157113969392	Portugués	A1
441536	fechas	Espero una respuesta muy temprano , porqué si no hay más habitaciones libres para estas fechas debo cercar otros hoteles por ahí cerca .	14033.925002401184	30985.83536366956	45819.55381446968	51030.09821259856	3288.9493845790416	Portugués	A2
144318	el	[...] padre mucho me estimulo los estudios , lo respecto , los deberes morales , la cividad , lo amor a el próximo , y por todo esto elle es para mi una persona muy especial , a quien mucho admiro !	5689.280327673324	20031.438413198503	44017.92889584197	64878.432831328406	4919.50606439889	Portugués	A2
550023	poner	Con libro o sin libro , podríamos quedar un almuerzo para poner los asuntos en día e se me traes el libro te pago la cuenta .	7074.942832767339	22802.68541015768	37426.27993699357	44502.4179539564	2186.783938915155	Portugués	B1
78074	,	Si tienes vacaciones en el fin de el año , me encantaría que vinieras aquí para que empiezamos el negocio de el que hablamos en el verano pasado .	3057.394884129766	9275.552560661632	19428.86761801977	27937.73991284101	1371.303343013738	Portugués	B1
169010	?	[...] que tener una formación en lenguas en la Universidad o es posible cambiar , como yo que soy Relaciones Publicas ?	4697.324787353825	14655.00174527614	28787.82586734645	37722.47981049565	3301.06595317685	Portugués	B2
582202	ser	Por eso deseo ser admitido en el programa de postgrado de lengua y literatura espanola de vostra universidad .	4620.553899855829	9022.437733146313	13623.57591920035	17231.87762753257	3860.900539195392	Portugués	B2
558304	propia	[...] en la empresa , aguantar los prejuicios por su color de piel , estudiar en la oscuridad y donar su propia sangre para ganar algun dinero , este hombre intenta , de todas las maneras posibles e innimaginables , no dejar [...]	6110.153374840713	18825.418143531948	38784.07670184881	59037.657992099776	2265.8665048669586	Portugués	C1
77177	,	Por ello , estoy escribiendo les para pedir les providencias inmediatas para solucionar los problemas , pues , a el contrário , estaré bajando de la compañia y buscando la justicia para recibir una imndenización por [...]	11001.713450293366	27641.66811451708	49728.72432314842	66886.53526265947	5997.831438155967	Portugués	C1
602592	Tengo	Tengo 34 años .	3228.9273404458613	2657.5536450772447	2206.5960055364867	1731.3854261134122	54979.743960590524	Ruso	A1
593089	suerte	Estoy alegre y suerte porque estoy con mi familia .	8099.1654873546095	13359.706675624968	13987.87163806682	12148.834132020726	1189.6874057880175	Ruso	A1
629063	vida	¿ Qué tal la vida ¿ Quiero contar te sobre mis últimas vacaciones .	23639.794884706444	40551.64405897237	40955.234422044035	34732.787997034735	11630.606599153274	Ruso	A2
216004	mi	Quiero hablar de mi mejor amiga .	3580.4898370387114	5488.391946316461	6332.9637051202035	5678.489316501663	2221.1572865329586	Ruso	A2
568763	repuesta	Espero a vuestra repuesta rapidamente .	31655.39201086471	23841.402672994103	15045.886110259065	9688.650606798266	18730.43476076976	Ruso	B1
643506	espectaculo	Cuando el espectaculo comenzo , yo entendio que mi amiga no era tan entusiasmada como yo , todo le parecia aburrido .	15485.07928944182	33942.26772816898	45432.467727144285	46940.44115250625	5024.662074344756	Ruso	B1
524680	novela	Este libro fue escrito como una novela existencialista , este corriente filosófico me gusta mucho .	4872.223968886526	10712.080611474035	15558.309573866223	17120.471956880094	7008.492083480013	Ruso	B2
495801	malo	[...] , creo que fumar en lugares como restaurantes , cafes , escuelas , universidades , hospitales , museos etc. es malo para todos .	5451.63563885338	14429.230977397248	27137.973676269237	35639.29334137845	49950.31906555291	Ruso	B2
181497	la	Es uno de los más inteligentes de su clase y ama la Patria con todo su corazón .	971.7322570729672	2182.077166029187	3873.25723879958	5455.712364156652	354.14628554609436	Ruso	C1
418446	epoca	Tambien a mi me gusto la tecnica de actuacion y la puesta en escena que transmitia la epoca de aquellos anhos , de los finales de el siglo XX .	4602.608119605291	10931.116650018785	19931.48347451723	27603.917082002885	4178.762873414861	Ruso	C1
612277	trabajando	Soy Haifa tu compañera en Beirut , estoy trabajando en nuestro industria desde diez años , y me encanta mucho mí trabajo .	10359.93089577943	22973.610657882535	34076.46016858973	38731.447213004416	7043.288198434674	Árabe	A1
338002	2006	[...] llama Mohssine tiene 22 años es comercente tambien vive con mi y mi madre , mi padre esta muerto en 2006 y mi madre se llama Malika tiene 51 años es ama de casa adios hasta luego	14874.759659630017	41970.988171958175	73729.59876265367	95174.26754044024	2710.622771268473	Árabe	A1
539024	pasteles	[...] aceite de olivas y las albóndigas fritas en la cocina española , las lasañas en la cocina italiana , los pasteles y postres de la cocina francés .	4873.739090086442	14430.795477166985	27381.46628021536	37358.335344824336	2694.053332715545	Árabe	A2
198776	los	Quiero saber todo sobre la disponibilidad en la fecha entre 15_julio_2012 y 17_de_julio de la misma año , tambien a los precios y los condiciones de la reserva .	2823.374873886641	9105.911487997568	19582.040596677864	28582.80717246616	1833.41982111617	Árabe	A2
250790	por	lo+ciento lo+ciento por las molestias .	20669.284274715268	16309.776387660131	11594.545293353294	7980.521987801877	7367.893804571901	Árabe	B1
294342	un	Habia dormido en un hotel 3 estrellas , porque no había ningún hotel 4 estrellas abiertas .	7238.246514963205	14815.157207200982	21931.02529412384	24478.11612318696	6887.194772614512	Árabe	B1
7538	,	Soy Informatica , tengo un bachelerato o B.S. en Sciencias Informaticas de la Universidad_Libano_Americana , desde Octubre_de_1996 hasta Febrero_de_2001 .	45568.64984009752	73475.14605740267	79054.51933004933	71431.93578224981	56532.65136064527	Árabe	B2
280521	su	Soy muy motivada para estudiar en su Universidad y tambien en su pais que me gusta mucho .	3918.867436347251	10479.332292129244	17226.040520351777	20367.703410857812	1013.1999093066672	Árabe	B2
577170	se	[...] que esa gente aun sigue siendo ciudadana y sobre_todo es humanos con los mismos derechos que nosotros y que equivocar se nadie lo puede evitar , es decir nosotros también podríamos haber estado o estar en la misma situación así_que viene [...]	11750.25097083535	33224.51908002927	61758.45628615209	85226.34225676446	1412.2064224791186	Árabe	C1
62546	,	En_fin , solicito una recompensa de 2000 euros más la baja de su compañía , o me veo obligado a presentar mi [...]	10324.0411149365	25916.111777994047	42645.437078805626	51901.86403847245	2928.191424448565	Árabe	C1
